datetime,posts,following,followers
2024-08-06T02:13:37.944654,5782,988,3246
2024-08-06T02:23:45.706364,5782,988,3246
2024-08-06T02:33:53.356369,5782,988,3246
2024-08-06T02:44:00.886613,5782,988,3247
2024-08-06T02:54:08.749311,5783,988,3248
2024-08-06T03:04:16.456455,5783,988,3248
2024-08-06T03:14:24.457738,5783,988,3248
2024-08-06T03:24:32.216213,5783,988,3248
2024-08-06T03:34:40.146376,5783,988,3248
2024-08-06T03:44:48.021487,5783,988,3248
2024-08-06T03:54:55.868109,5783,988,3248
2024-08-06T04:05:03.936170,5783,988,3248
2024-08-06T04:15:11.578453,5783,988,3249
2024-08-06T04:25:19.378735,5783,988,3249
2024-08-06T04:35:27.114742,5783,988,3249
2024-08-06T04:45:34.987563,5783,988,3249
2024-08-06T04:55:42.766675,5783,988,3247
2024-08-06T05:05:50.518837,5783,988,3247
2024-08-06T05:15:58.322308,5783,988,3247
2024-08-06T05:26:07.695192,5783,988,3247
2024-08-06T05:36:15.250518,5783,988,3247
2024-08-06T05:46:22.764963,5783,988,3247
2024-08-06T05:56:30.549526,5783,988,3247
2024-08-06T06:06:38.467367,5783,988,3247
2024-08-06T06:16:46.249492,5783,988,3247
2024-08-06T06:26:53.830416,5783,988,3247
2024-08-06T06:37:01.468402,5783,988,3248
2024-08-06T06:47:09.022746,5783,988,3248
2024-08-06T06:57:16.608371,5783,988,3248
2024-08-06T07:07:24.212683,5783,988,3248
2024-08-06T07:17:31.878620,5783,988,3248
2024-08-06T07:27:39.618083,5783,988,3248
2024-08-06T07:37:47.334490,5783,988,3248
2024-08-06T07:47:54.968603,5783,988,3248
2024-08-06T07:58:02.797302,5783,988,3248
2024-08-06T08:08:10.506361,5783,988,3248
2024-08-06T08:18:18.039051,5783,988,3248
2024-08-06T08:28:25.660428,5783,988,3248
2024-08-06T08:38:33.409078,5783,988,3247
2024-08-06T08:48:41.029353,5783,988,3247
2024-08-06T08:58:48.658799,5783,988,3247
2024-08-06T09:08:56.374391,5783,988,3247
2024-08-06T09:19:03.839915,5783,988,3247
